layer,filter,image,mean_activation
vgg/conv1_1/conv1_1,0,val_8712.JPEG,12439.0966797
vgg/conv1_1/conv1_1,0,val_5256.JPEG,11875.2929688
vgg/conv1_1/conv1_1,0,val_4187.JPEG,11430.3886719
vgg/conv1_1/conv1_1,0,val_8539.JPEG,11397.8681641
vgg/conv1_1/conv1_1,0,val_9449.JPEG,11134.2871094
vgg/conv1_1/conv1_1,1,val_5115.JPEG,90029.3828125
vgg/conv1_1/conv1_1,1,val_9390.JPEG,84578.875
vgg/conv1_1/conv1_1,1,val_6822.JPEG,83003.625
vgg/conv1_1/conv1_1,1,val_5957.JPEG,81118.59375
vgg/conv1_1/conv1_1,1,val_268.JPEG,78681.15625
vgg/conv1_1/conv1_1,2,val_1040.JPEG,28818.4335938
vgg/conv1_1/conv1_1,2,val_5894.JPEG,28786.4238281
vgg/conv1_1/conv1_1,2,val_2053.JPEG,28531.328125
vgg/conv1_1/conv1_1,2,val_3624.JPEG,28508.0253906
vgg/conv1_1/conv1_1,2,val_6484.JPEG,28159.7128906
vgg/conv1_1/conv1_1,3,val_5256.JPEG,11247.3720703
vgg/conv1_1/conv1_1,3,val_8712.JPEG,9095.69335938
vgg/conv1_1/conv1_1,3,val_2394.JPEG,8856.54003906
vgg/conv1_1/conv1_1,3,val_2224.JPEG,8221.12597656
vgg/conv1_1/conv1_1,3,val_8539.JPEG,8021.83789062
vgg/conv1_1/conv1_1,4,val_7165.JPEG,11303.4941406
vgg/conv1_1/conv1_1,4,val_4553.JPEG,11213.234375
vgg/conv1_1/conv1_1,4,val_9088.JPEG,10985.5488281
vgg/conv1_1/conv1_1,4,val_9121.JPEG,10677.3857422
vgg/conv1_1/conv1_1,4,val_4228.JPEG,10559.0292969
vgg/conv1_1/conv1_1,5,val_5957.JPEG,94252.8359375
vgg/conv1_1/conv1_1,5,val_208.JPEG,90741.125
vgg/conv1_1/conv1_1,5,val_6822.JPEG,84754.0078125
vgg/conv1_1/conv1_1,5,val_1053.JPEG,79006.8828125
vgg/conv1_1/conv1_1,5,val_9782.JPEG,73029.0234375
vgg/conv1_1/conv1_1,6,val_1774.JPEG,5208.78417969
vgg/conv1_1/conv1_1,6,val_5115.JPEG,5160.0546875
vgg/conv1_1/conv1_1,6,val_9390.JPEG,5131.86669922
vgg/conv1_1/conv1_1,6,val_8712.JPEG,5121.84179688
vgg/conv1_1/conv1_1,6,val_9775.JPEG,5011.12841797
vgg/conv1_1/conv1_1,7,val_7165.JPEG,16716.6796875
vgg/conv1_1/conv1_1,7,val_4553.JPEG,15687.1757812
vgg/conv1_1/conv1_1,7,val_9088.JPEG,15416.9267578
vgg/conv1_1/conv1_1,7,val_5538.JPEG,15090.8457031
vgg/conv1_1/conv1_1,7,val_3370.JPEG,14929.4394531
vgg/conv1_1/conv1_1,8,val_5370.JPEG,65233.0976562
vgg/conv1_1/conv1_1,8,val_5832.JPEG,64205.546875
vgg/conv1_1/conv1_1,8,val_1728.JPEG,62575.1757812
vgg/conv1_1/conv1_1,8,val_4278.JPEG,61385.21875
vgg/conv1_1/conv1_1,8,val_2635.JPEG,60300.265625
vgg/conv1_1/conv1_1,9,val_5957.JPEG,55722.2421875
vgg/conv1_1/conv1_1,9,val_6822.JPEG,53770.3203125
vgg/conv1_1/conv1_1,9,val_208.JPEG,51658.78125
vgg/conv1_1/conv1_1,9,val_1053.JPEG,48752.859375
vgg/conv1_1/conv1_1,9,val_5115.JPEG,42473.3984375
vgg/conv1_1/conv1_1,10,val_5256.JPEG,14137.4091797
vgg/conv1_1/conv1_1,10,val_2394.JPEG,11484.8359375
vgg/conv1_1/conv1_1,10,val_8712.JPEG,11369.3300781
vgg/conv1_1/conv1_1,10,val_2224.JPEG,10729.4404297
vgg/conv1_1/conv1_1,10,val_8539.JPEG,9950.83007812
vgg/conv1_1/conv1_1,11,val_1069.JPEG,18871.5644531
vgg/conv1_1/conv1_1,11,val_9181.JPEG,18749.1699219
vgg/conv1_1/conv1_1,11,val_2242.JPEG,18229.3515625
vgg/conv1_1/conv1_1,11,val_3343.JPEG,16739.1035156
vgg/conv1_1/conv1_1,11,val_105.JPEG,16375.5917969
vgg/conv1_1/conv1_1,12,val_1069.JPEG,81865.1484375
vgg/conv1_1/conv1_1,12,val_9181.JPEG,77084.46875
vgg/conv1_1/conv1_1,12,val_1774.JPEG,76071.2265625
vgg/conv1_1/conv1_1,12,val_7286.JPEG,75787.859375
vgg/conv1_1/conv1_1,12,val_2242.JPEG,74520.5
vgg/conv1_1/conv1_1,13,val_5115.JPEG,53136.2265625
vgg/conv1_1/conv1_1,13,val_9390.JPEG,49663.1523438
vgg/conv1_1/conv1_1,13,val_6822.JPEG,46414.6601562
vgg/conv1_1/conv1_1,13,val_268.JPEG,45692.53125
vgg/conv1_1/conv1_1,13,val_5957.JPEG,44298.953125
vgg/conv1_1/conv1_1,14,val_5256.JPEG,5124.27783203
vgg/conv1_1/conv1_1,14,val_1365.JPEG,2951.00756836
vgg/conv1_1/conv1_1,14,val_5331.JPEG,2741.43334961
vgg/conv1_1/conv1_1,14,val_8564.JPEG,2551.88598633
vgg/conv1_1/conv1_1,14,val_3454.JPEG,2539.5222168
vgg/conv1_1/conv1_1,15,val_4278.JPEG,41101.5273438
vgg/conv1_1/conv1_1,15,val_9885.JPEG,39254.1757812
vgg/conv1_1/conv1_1,15,val_5832.JPEG,39010.4453125
vgg/conv1_1/conv1_1,15,val_5370.JPEG,38977.0039062
vgg/conv1_1/conv1_1,15,val_1728.JPEG,38600.0
vgg/conv1_1/conv1_1,16,val_7165.JPEG,84034.90625
vgg/conv1_1/conv1_1,16,val_4553.JPEG,83724.8515625
vgg/conv1_1/conv1_1,16,val_4228.JPEG,81171.703125
vgg/conv1_1/conv1_1,16,val_9088.JPEG,80631.71875
vgg/conv1_1/conv1_1,16,val_5538.JPEG,80469.40625
vgg/conv1_1/conv1_1,17,val_9181.JPEG,12086.5634766
vgg/conv1_1/conv1_1,17,val_2242.JPEG,11415.1171875
vgg/conv1_1/conv1_1,17,val_4368.JPEG,11343.828125
vgg/conv1_1/conv1_1,17,val_3343.JPEG,10907.5683594
vgg/conv1_1/conv1_1,17,val_6823.JPEG,10839.6201172
vgg/conv1_1/conv1_1,18,val_5957.JPEG,63518.2695312
vgg/conv1_1/conv1_1,18,val_208.JPEG,61688.4101562
vgg/conv1_1/conv1_1,18,val_9885.JPEG,59874.2695312
vgg/conv1_1/conv1_1,18,val_9782.JPEG,58986.5703125
vgg/conv1_1/conv1_1,18,val_1053.JPEG,52252.4960938
vgg/conv1_1/conv1_1,19,val_5538.JPEG,53435.8867188
vgg/conv1_1/conv1_1,19,val_3851.JPEG,53101.4375
vgg/conv1_1/conv1_1,19,val_5370.JPEG,52802.0859375
vgg/conv1_1/conv1_1,19,val_9746.JPEG,52040.9179688
vgg/conv1_1/conv1_1,19,val_6142.JPEG,47477.2226562
vgg/conv1_1/conv1_1,20,val_5957.JPEG,51964.0742188
vgg/conv1_1/conv1_1,20,val_6822.JPEG,49035.1171875
vgg/conv1_1/conv1_1,20,val_208.JPEG,48588.6328125
vgg/conv1_1/conv1_1,20,val_1053.JPEG,45159.3085938
vgg/conv1_1/conv1_1,20,val_9386.JPEG,39231.4296875
vgg/conv1_1/conv1_1,21,val_5256.JPEG,9236.00683594
vgg/conv1_1/conv1_1,21,val_2238.JPEG,8714.57617188
vgg/conv1_1/conv1_1,21,val_8712.JPEG,8498.46972656
vgg/conv1_1/conv1_1,21,val_6290.JPEG,8473.65625
vgg/conv1_1/conv1_1,21,val_3254.JPEG,8454.61230469
vgg/conv1_1/conv1_1,22,val_5957.JPEG,83657.0390625
vgg/conv1_1/conv1_1,22,val_6822.JPEG,83303.3359375
vgg/conv1_1/conv1_1,22,val_208.JPEG,76701.7890625
vgg/conv1_1/conv1_1,22,val_5115.JPEG,76566.9453125
vgg/conv1_1/conv1_1,22,val_1053.JPEG,73831.109375
vgg/conv1_1/conv1_1,23,val_5957.JPEG,40764.3945312
vgg/conv1_1/conv1_1,23,val_208.JPEG,39596.6054688
vgg/conv1_1/conv1_1,23,val_9885.JPEG,36287.9765625
vgg/conv1_1/conv1_1,23,val_9782.JPEG,35880.3320312
vgg/conv1_1/conv1_1,23,val_1053.JPEG,33639.4570312
vgg/conv1_1/conv1_1,24,val_5115.JPEG,28436.59375
vgg/conv1_1/conv1_1,24,val_9390.JPEG,28002.7890625
vgg/conv1_1/conv1_1,24,val_346.JPEG,25586.3417969
vgg/conv1_1/conv1_1,24,val_1774.JPEG,24961.578125
vgg/conv1_1/conv1_1,24,val_8563.JPEG,22927.1425781
vgg/conv1_1/conv1_1,25,val_5115.JPEG,106701.109375
vgg/conv1_1/conv1_1,25,val_9390.JPEG,105089.453125
vgg/conv1_1/conv1_1,25,val_346.JPEG,89563.4140625
vgg/conv1_1/conv1_1,25,val_268.JPEG,87958.265625
vgg/conv1_1/conv1_1,25,val_1774.JPEG,86765.3515625
vgg/conv1_1/conv1_1,26,val_5256.JPEG,11593.5595703
vgg/conv1_1/conv1_1,26,val_8712.JPEG,9888.60351562
vgg/conv1_1/conv1_1,26,val_2394.JPEG,9479.97949219
vgg/conv1_1/conv1_1,26,val_8539.JPEG,8686.43847656
vgg/conv1_1/conv1_1,26,val_2224.JPEG,8583.10253906
vgg/conv1_1/conv1_1,27,val_8685.JPEG,62152.1523438
vgg/conv1_1/conv1_1,27,val_4368.JPEG,56802.0390625
vgg/conv1_1/conv1_1,27,val_9181.JPEG,51997.265625
vgg/conv1_1/conv1_1,27,val_7385.JPEG,50219.0429688
vgg/conv1_1/conv1_1,27,val_7582.JPEG,49586.7109375
vgg/conv1_1/conv1_1,28,val_6071.JPEG,4820.6640625
vgg/conv1_1/conv1_1,28,val_4296.JPEG,4266.16113281
vgg/conv1_1/conv1_1,28,val_3775.JPEG,4073.25463867
vgg/conv1_1/conv1_1,28,val_9449.JPEG,3877.27416992
vgg/conv1_1/conv1_1,28,val_3242.JPEG,3751.47631836
vgg/conv1_1/conv1_1,29,val_7165.JPEG,76415.234375
vgg/conv1_1/conv1_1,29,val_9088.JPEG,73390.578125
vgg/conv1_1/conv1_1,29,val_4553.JPEG,71878.0859375
vgg/conv1_1/conv1_1,29,val_8685.JPEG,69906.3125
vgg/conv1_1/conv1_1,29,val_3370.JPEG,69861.1875
vgg/conv1_1/conv1_1,30,val_5115.JPEG,10833.5878906
vgg/conv1_1/conv1_1,30,val_9390.JPEG,10677.5605469
vgg/conv1_1/conv1_1,30,val_1774.JPEG,10657.8349609
vgg/conv1_1/conv1_1,30,val_346.JPEG,10217.7988281
vgg/conv1_1/conv1_1,30,val_8563.JPEG,9752.9765625
vgg/conv1_1/conv1_1,31,val_1040.JPEG,188270.984375
vgg/conv1_1/conv1_1,31,val_3624.JPEG,186699.484375
vgg/conv1_1/conv1_1,31,val_2053.JPEG,186477.703125
vgg/conv1_1/conv1_1,31,val_694.JPEG,184027.125
vgg/conv1_1/conv1_1,31,val_798.JPEG,183215.25
vgg/conv1_1/conv1_1,32,val_3851.JPEG,12082.8046875
vgg/conv1_1/conv1_1,32,val_5538.JPEG,9303.00976562
vgg/conv1_1/conv1_1,32,val_3254.JPEG,9057.05566406
vgg/conv1_1/conv1_1,32,val_9746.JPEG,8967.53027344
vgg/conv1_1/conv1_1,32,val_5370.JPEG,8670.50097656
vgg/conv1_1/conv1_1,33,val_9885.JPEG,30670.1601562
vgg/conv1_1/conv1_1,33,val_4278.JPEG,29011.3535156
vgg/conv1_1/conv1_1,33,val_9782.JPEG,27900.234375
vgg/conv1_1/conv1_1,33,val_1728.JPEG,26495.6503906
vgg/conv1_1/conv1_1,33,val_5957.JPEG,26225.3984375
vgg/conv1_1/conv1_1,34,val_5256.JPEG,10469.0107422
vgg/conv1_1/conv1_1,34,val_8712.JPEG,8847.52734375
vgg/conv1_1/conv1_1,34,val_2394.JPEG,8821.7109375
vgg/conv1_1/conv1_1,34,val_2224.JPEG,8102.65039062
vgg/conv1_1/conv1_1,34,val_8539.JPEG,7817.91503906
vgg/conv1_1/conv1_1,35,val_4187.JPEG,9070.11425781
vgg/conv1_1/conv1_1,35,val_8712.JPEG,9056.08886719
vgg/conv1_1/conv1_1,35,val_5483.JPEG,8493.15820312
vgg/conv1_1/conv1_1,35,val_8539.JPEG,8450.08203125
vgg/conv1_1/conv1_1,35,val_6071.JPEG,8393.45019531
vgg/conv1_1/conv1_1,36,val_5115.JPEG,49161.625
vgg/conv1_1/conv1_1,36,val_9390.JPEG,43594.3554688
vgg/conv1_1/conv1_1,36,val_6822.JPEG,41969.7851562
vgg/conv1_1/conv1_1,36,val_268.JPEG,41683.71875
vgg/conv1_1/conv1_1,36,val_346.JPEG,40995.7070312
vgg/conv1_1/conv1_1,37,val_5256.JPEG,13301.9746094
vgg/conv1_1/conv1_1,37,val_8712.JPEG,11765.8974609
vgg/conv1_1/conv1_1,37,val_2394.JPEG,11464.7841797
vgg/conv1_1/conv1_1,37,val_8564.JPEG,11388.3173828
vgg/conv1_1/conv1_1,37,val_5208.JPEG,11137.5771484
vgg/conv1_1/conv1_1,38,val_5115.JPEG,30560.0234375
vgg/conv1_1/conv1_1,38,val_9390.JPEG,30501.8261719
vgg/conv1_1/conv1_1,38,val_346.JPEG,27892.03125
vgg/conv1_1/conv1_1,38,val_1774.JPEG,27223.8320312
vgg/conv1_1/conv1_1,38,val_8563.JPEG,25161.6484375
vgg/conv1_1/conv1_1,39,val_208.JPEG,21731.0507812
vgg/conv1_1/conv1_1,39,val_9782.JPEG,20048.3339844
vgg/conv1_1/conv1_1,39,val_5957.JPEG,15490.1640625
vgg/conv1_1/conv1_1,39,val_6822.JPEG,13514.1142578
vgg/conv1_1/conv1_1,39,val_1053.JPEG,12678.7773438
vgg/conv1_1/conv1_1,40,val_9181.JPEG,28156.6953125
vgg/conv1_1/conv1_1,40,val_4368.JPEG,26458.7226562
vgg/conv1_1/conv1_1,40,val_2242.JPEG,26107.1796875
vgg/conv1_1/conv1_1,40,val_1069.JPEG,25966.4921875
vgg/conv1_1/conv1_1,40,val_6823.JPEG,25216.4023438
vgg/conv1_1/conv1_1,41,val_5957.JPEG,32845.3125
vgg/conv1_1/conv1_1,41,val_208.JPEG,32040.0195312
vgg/conv1_1/conv1_1,41,val_9782.JPEG,29071.7070312
vgg/conv1_1/conv1_1,41,val_9885.JPEG,28577.1054688
vgg/conv1_1/conv1_1,41,val_1053.JPEG,27086.2578125
vgg/conv1_1/conv1_1,42,val_8712.JPEG,6538.34277344
vgg/conv1_1/conv1_1,42,val_4187.JPEG,6346.67529297
vgg/conv1_1/conv1_1,42,val_9449.JPEG,6144.55615234
vgg/conv1_1/conv1_1,42,val_8539.JPEG,5931.31054688
vgg/conv1_1/conv1_1,42,val_5208.JPEG,5781.30078125
vgg/conv1_1/conv1_1,43,val_5256.JPEG,3994.28930664
vgg/conv1_1/conv1_1,43,val_5331.JPEG,3620.25805664
vgg/conv1_1/conv1_1,43,val_3454.JPEG,3330.57299805
vgg/conv1_1/conv1_1,43,val_2394.JPEG,3176.65649414
vgg/conv1_1/conv1_1,43,val_8712.JPEG,2959.77197266
vgg/conv1_1/conv1_1,44,val_5115.JPEG,25662.7734375
vgg/conv1_1/conv1_1,44,val_9390.JPEG,25556.4765625
vgg/conv1_1/conv1_1,44,val_346.JPEG,23710.0546875
vgg/conv1_1/conv1_1,44,val_1774.JPEG,23679.6914062
vgg/conv1_1/conv1_1,44,val_8563.JPEG,21770.109375
vgg/conv1_1/conv1_1,45,val_8712.JPEG,12378.4443359
vgg/conv1_1/conv1_1,45,val_4187.JPEG,11504.3613281
vgg/conv1_1/conv1_1,45,val_5256.JPEG,11458.4130859
vgg/conv1_1/conv1_1,45,val_8539.JPEG,11103.7060547
vgg/conv1_1/conv1_1,45,val_9449.JPEG,10935.8417969
vgg/conv1_1/conv1_1,46,val_8685.JPEG,29177.78125
vgg/conv1_1/conv1_1,46,val_7165.JPEG,28464.0175781
vgg/conv1_1/conv1_1,46,val_9088.JPEG,28136.8789062
vgg/conv1_1/conv1_1,46,val_3370.JPEG,26409.5546875
vgg/conv1_1/conv1_1,46,val_4553.JPEG,26153.3710938
vgg/conv1_1/conv1_1,47,val_5256.JPEG,12610.9492188
vgg/conv1_1/conv1_1,47,val_8712.JPEG,11464.8339844
vgg/conv1_1/conv1_1,47,val_2394.JPEG,10714.8642578
vgg/conv1_1/conv1_1,47,val_8539.JPEG,10366.2128906
vgg/conv1_1/conv1_1,47,val_2224.JPEG,9953.7890625
vgg/conv1_1/conv1_1,48,val_7165.JPEG,13230.1015625
vgg/conv1_1/conv1_1,48,val_4553.JPEG,12236.7646484
vgg/conv1_1/conv1_1,48,val_9088.JPEG,12216.2929688
vgg/conv1_1/conv1_1,48,val_5538.JPEG,12163.2089844
vgg/conv1_1/conv1_1,48,val_3370.JPEG,11640.1416016
vgg/conv1_1/conv1_1,49,val_5957.JPEG,55277.2929688
vgg/conv1_1/conv1_1,49,val_6822.JPEG,54061.3554688
vgg/conv1_1/conv1_1,49,val_208.JPEG,50989.3867188
vgg/conv1_1/conv1_1,49,val_1053.JPEG,48641.0351562
vgg/conv1_1/conv1_1,49,val_5115.JPEG,46314.9023438
vgg/conv1_1/conv1_1,50,val_5115.JPEG,60102.1015625
vgg/conv1_1/conv1_1,50,val_9390.JPEG,58748.9648438
vgg/conv1_1/conv1_1,50,val_346.JPEG,54081.8867188
vgg/conv1_1/conv1_1,50,val_1774.JPEG,52297.234375
vgg/conv1_1/conv1_1,50,val_8563.JPEG,48425.3125
vgg/conv1_1/conv1_1,51,val_4187.JPEG,12191.0498047
vgg/conv1_1/conv1_1,51,val_8712.JPEG,11492.9755859
vgg/conv1_1/conv1_1,51,val_8539.JPEG,10842.7978516
vgg/conv1_1/conv1_1,51,val_9449.JPEG,10725.5839844
vgg/conv1_1/conv1_1,51,val_5483.JPEG,10689.3916016
vgg/conv1_1/conv1_1,52,val_5370.JPEG,37564.3476562
vgg/conv1_1/conv1_1,52,val_9746.JPEG,36173.9296875
vgg/conv1_1/conv1_1,52,val_3851.JPEG,35541.1171875
vgg/conv1_1/conv1_1,52,val_5832.JPEG,35535.6171875
vgg/conv1_1/conv1_1,52,val_5538.JPEG,35172.6835938
vgg/conv1_1/conv1_1,53,val_7165.JPEG,21780.984375
vgg/conv1_1/conv1_1,53,val_8685.JPEG,21377.4960938
vgg/conv1_1/conv1_1,53,val_9088.JPEG,21163.3242188
vgg/conv1_1/conv1_1,53,val_3370.JPEG,20173.0351562
vgg/conv1_1/conv1_1,53,val_4553.JPEG,20088.140625
vgg/conv1_1/conv1_1,54,val_5957.JPEG,27649.1972656
vgg/conv1_1/conv1_1,54,val_208.JPEG,26495.625
vgg/conv1_1/conv1_1,54,val_6822.JPEG,23676.21875
vgg/conv1_1/conv1_1,54,val_9885.JPEG,23453.1777344
vgg/conv1_1/conv1_1,54,val_1053.JPEG,23269.9707031
vgg/conv1_1/conv1_1,55,val_5115.JPEG,41013.5390625
vgg/conv1_1/conv1_1,55,val_9390.JPEG,40118.1171875
vgg/conv1_1/conv1_1,55,val_346.JPEG,36869.7695312
vgg/conv1_1/conv1_1,55,val_1774.JPEG,35941.8515625
vgg/conv1_1/conv1_1,55,val_8563.JPEG,33093.3828125
vgg/conv1_1/conv1_1,56,val_9885.JPEG,17996.9394531
vgg/conv1_1/conv1_1,56,val_9782.JPEG,17857.3710938
vgg/conv1_1/conv1_1,56,val_4278.JPEG,16639.1171875
vgg/conv1_1/conv1_1,56,val_208.JPEG,16349.0449219
vgg/conv1_1/conv1_1,56,val_5957.JPEG,16213.2919922
vgg/conv1_1/conv1_1,57,val_5957.JPEG,39184.0546875
vgg/conv1_1/conv1_1,57,val_208.JPEG,38072.171875
vgg/conv1_1/conv1_1,57,val_9782.JPEG,34684.5
vgg/conv1_1/conv1_1,57,val_9885.JPEG,34436.3203125
vgg/conv1_1/conv1_1,57,val_1053.JPEG,32323.1308594
vgg/conv1_1/conv1_1,58,val_4187.JPEG,10207.4833984
vgg/conv1_1/conv1_1,58,val_8712.JPEG,9763.02832031
vgg/conv1_1/conv1_1,58,val_9449.JPEG,9500.32128906
vgg/conv1_1/conv1_1,58,val_5483.JPEG,9303.34277344
vgg/conv1_1/conv1_1,58,val_8539.JPEG,9119.00683594
vgg/conv1_1/conv1_1,59,val_8685.JPEG,122159.984375
vgg/conv1_1/conv1_1,59,val_9121.JPEG,105342.9375
vgg/conv1_1/conv1_1,59,val_9088.JPEG,105327.679688
vgg/conv1_1/conv1_1,59,val_7582.JPEG,105189.328125
vgg/conv1_1/conv1_1,59,val_7385.JPEG,104111.734375
vgg/conv1_1/conv1_1,60,val_4187.JPEG,8548.09082031
vgg/conv1_1/conv1_1,60,val_8712.JPEG,8478.49023438
vgg/conv1_1/conv1_1,60,val_5483.JPEG,7979.43798828
vgg/conv1_1/conv1_1,60,val_8539.JPEG,7929.47314453
vgg/conv1_1/conv1_1,60,val_9449.JPEG,7900.17480469
vgg/conv1_1/conv1_1,61,val_363.JPEG,193.147949219
vgg/conv1_1/conv1_1,61,val_3267.JPEG,177.700958252
vgg/conv1_1/conv1_1,61,val_9376.JPEG,174.948410034
vgg/conv1_1/conv1_1,61,val_2228.JPEG,151.656661987
vgg/conv1_1/conv1_1,61,val_9428.JPEG,145.607818604
vgg/conv1_1/conv1_1,62,val_8712.JPEG,10883.2587891
vgg/conv1_1/conv1_1,62,val_4187.JPEG,10119.2929688
vgg/conv1_1/conv1_1,62,val_9449.JPEG,10034.7705078
vgg/conv1_1/conv1_1,62,val_8539.JPEG,9889.68457031
vgg/conv1_1/conv1_1,62,val_1768.JPEG,9441.74023438
vgg/conv1_1/conv1_1,63,val_9121.JPEG,9568.28808594
vgg/conv1_1/conv1_1,63,val_4187.JPEG,9437.55566406
vgg/conv1_1/conv1_1,63,val_8712.JPEG,9420.88964844
vgg/conv1_1/conv1_1,63,val_9449.JPEG,9415.95800781
vgg/conv1_1/conv1_1,63,val_6290.JPEG,9378.546875
vgg/conv1_2/conv1_2,0,val_798.JPEG,69443.2421875
vgg/conv1_2/conv1_2,0,val_8401.JPEG,69019.859375
vgg/conv1_2/conv1_2,0,val_2053.JPEG,68866.8046875
vgg/conv1_2/conv1_2,0,val_8280.JPEG,68591.84375
vgg/conv1_2/conv1_2,0,val_3624.JPEG,68574.4296875
vgg/conv1_2/conv1_2,1,val_5957.JPEG,91301.28125
vgg/conv1_2/conv1_2,1,val_6822.JPEG,86642.9453125
vgg/conv1_2/conv1_2,1,val_208.JPEG,85275.5
vgg/conv1_2/conv1_2,1,val_1053.JPEG,82109.890625
vgg/conv1_2/conv1_2,1,val_5115.JPEG,74558.703125
vgg/conv1_2/conv1_2,2,val_5957.JPEG,475615.59375
vgg/conv1_2/conv1_2,2,val_208.JPEG,456911.75
vgg/conv1_2/conv1_2,2,val_6822.JPEG,432344.625
vgg/conv1_2/conv1_2,2,val_1053.JPEG,403193.9375
vgg/conv1_2/conv1_2,2,val_9782.JPEG,365570.03125
vgg/conv1_2/conv1_2,3,val_1069.JPEG,289312.875
vgg/conv1_2/conv1_2,3,val_1774.JPEG,282586.5625
vgg/conv1_2/conv1_2,3,val_9181.JPEG,279081.09375
vgg/conv1_2/conv1_2,3,val_4368.JPEG,272699.75
vgg/conv1_2/conv1_2,3,val_9390.JPEG,271104.3125
vgg/conv1_2/conv1_2,4,val_5115.JPEG,560089.25
vgg/conv1_2/conv1_2,4,val_9390.JPEG,559521.5
vgg/conv1_2/conv1_2,4,val_5957.JPEG,549397.5625
vgg/conv1_2/conv1_2,4,val_9885.JPEG,534493.1875
vgg/conv1_2/conv1_2,4,val_9386.JPEG,527717.125
vgg/conv1_2/conv1_2,5,val_5832.JPEG,57366.3515625
vgg/conv1_2/conv1_2,5,val_3254.JPEG,56379.078125
vgg/conv1_2/conv1_2,5,val_1728.JPEG,56050.3984375
vgg/conv1_2/conv1_2,5,val_9885.JPEG,56032.984375
vgg/conv1_2/conv1_2,5,val_2635.JPEG,55160.609375
vgg/conv1_2/conv1_2,6,val_4368.JPEG,43597.3125
vgg/conv1_2/conv1_2,6,val_9181.JPEG,40447.3359375
vgg/conv1_2/conv1_2,6,val_2242.JPEG,39676.0390625
vgg/conv1_2/conv1_2,6,val_105.JPEG,39059.3125
vgg/conv1_2/conv1_2,6,val_8685.JPEG,38181.9765625
vgg/conv1_2/conv1_2,7,val_5115.JPEG,263496.15625
vgg/conv1_2/conv1_2,7,val_9390.JPEG,258952.328125
vgg/conv1_2/conv1_2,7,val_346.JPEG,243955.953125
vgg/conv1_2/conv1_2,7,val_1774.JPEG,236579.578125
vgg/conv1_2/conv1_2,7,val_8563.JPEG,222043.78125
vgg/conv1_2/conv1_2,8,val_9449.JPEG,20766.2363281
vgg/conv1_2/conv1_2,8,val_2430.JPEG,18502.7324219
vgg/conv1_2/conv1_2,8,val_8564.JPEG,16890.0351562
vgg/conv1_2/conv1_2,8,val_3484.JPEG,16437.4121094
vgg/conv1_2/conv1_2,8,val_398.JPEG,16231.1083984
vgg/conv1_2/conv1_2,9,val_5957.JPEG,97416.125
vgg/conv1_2/conv1_2,9,val_208.JPEG,92464.3203125
vgg/conv1_2/conv1_2,9,val_6822.JPEG,87197.328125
vgg/conv1_2/conv1_2,9,val_1053.JPEG,86176.765625
vgg/conv1_2/conv1_2,9,val_9885.JPEG,84229.5234375
vgg/conv1_2/conv1_2,10,val_5208.JPEG,56838.4960938
vgg/conv1_2/conv1_2,10,val_8564.JPEG,56379.0546875
vgg/conv1_2/conv1_2,10,val_3078.JPEG,56295.8671875
vgg/conv1_2/conv1_2,10,val_8280.JPEG,54634.1132812
vgg/conv1_2/conv1_2,10,val_974.JPEG,53938.78125
vgg/conv1_2/conv1_2,11,val_5370.JPEG,119453.71875
vgg/conv1_2/conv1_2,11,val_5538.JPEG,118749.523438
vgg/conv1_2/conv1_2,11,val_9746.JPEG,116224.6875
vgg/conv1_2/conv1_2,11,val_5832.JPEG,115522.84375
vgg/conv1_2/conv1_2,11,val_3851.JPEG,113838.945312
vgg/conv1_2/conv1_2,12,val_5957.JPEG,74043.734375
vgg/conv1_2/conv1_2,12,val_208.JPEG,69704.015625
vgg/conv1_2/conv1_2,12,val_1053.JPEG,68137.09375
vgg/conv1_2/conv1_2,12,val_9885.JPEG,66738.015625
vgg/conv1_2/conv1_2,12,val_6822.JPEG,66118.125
vgg/conv1_2/conv1_2,13,val_9449.JPEG,65133.7421875
vgg/conv1_2/conv1_2,13,val_8560.JPEG,61218.1210938
vgg/conv1_2/conv1_2,13,val_9931.JPEG,61156.7734375
vgg/conv1_2/conv1_2,13,val_5208.JPEG,60248.0078125
vgg/conv1_2/conv1_2,13,val_3078.JPEG,60178.2617188
vgg/conv1_2/conv1_2,14,val_7165.JPEG,53138.390625
vgg/conv1_2/conv1_2,14,val_9088.JPEG,51013.796875
vgg/conv1_2/conv1_2,14,val_4553.JPEG,50688.640625
vgg/conv1_2/conv1_2,14,val_3370.JPEG,47903.265625
vgg/conv1_2/conv1_2,14,val_5538.JPEG,46719.7109375
vgg/conv1_2/conv1_2,15,val_1069.JPEG,291296.625
vgg/conv1_2/conv1_2,15,val_1774.JPEG,289681.625
vgg/conv1_2/conv1_2,15,val_9390.JPEG,285513.5625
vgg/conv1_2/conv1_2,15,val_5115.JPEG,275685.90625
vgg/conv1_2/conv1_2,15,val_346.JPEG,274983.46875
vgg/conv1_2/conv1_2,16,val_3775.JPEG,15078.0898438
vgg/conv1_2/conv1_2,16,val_9449.JPEG,14743.4931641
vgg/conv1_2/conv1_2,16,val_398.JPEG,14012.4023438
vgg/conv1_2/conv1_2,16,val_3484.JPEG,13837.0517578
